"time","activity","lag"
"2013-10-08 07:47:00",185,0
"2013-10-08 07:52:00",171.4,1
"2013-10-08 07:57:00",159.2,2
"2013-10-08 08:02:00",200,3
"2013-10-08 08:07:00",167.8,4
"2013-10-08 08:12:00",169.4,5
"2013-10-08 08:17:00",132,6
"2013-10-08 08:22:00",149.4,7
"2013-10-08 08:27:00",94.6,8
"2013-10-08 08:32:00",106.4,9
"2013-10-08 08:37:00",93.6,10
"2013-10-08 08:42:00",132.2,11
"2013-10-08 08:47:00",119,12
"2013-10-08 08:52:00",111.6,13
"2013-10-08 08:57:00",64.6,14
"2013-10-08 09:02:00",74.8,15
"2013-10-08 09:07:00",112,16
"2013-10-08 09:12:00",169.2,17
"2013-10-08 09:17:00",162,18
"2013-10-08 09:22:00",153.4,19
"2013-10-08 09:27:00",159.6,20
"2013-10-08 09:32:00",160.8,21
"2013-10-08 09:37:00",138.8,22
"2013-10-08 09:42:00",150.4,23
"2013-10-08 09:47:00",143,24
"2013-10-08 09:52:00",103.4,25
"2013-10-08 09:57:00",152.8,26
"2013-10-08 10:02:00",89,27
"2013-10-08 10:07:00",137.6,28
"2013-10-08 10:12:00",159.6,29
"2013-10-08 10:17:00",134.4,30
"2013-10-08 10:22:00",158,31
"2013-10-08 10:27:00",160,32
"2013-10-08 10:32:00",155.2,33
"2013-10-08 10:37:00",155.4,34
"2013-10-08 10:42:00",160.4,35
"2013-10-08 10:47:00",156.2,36
"2013-10-08 10:52:00",161.8,37
"2013-10-08 10:57:00",138.4,38
"2013-10-08 11:02:00",167.2,39
"2013-10-08 11:07:00",162.8,40
"2013-10-08 11:12:00",169.2,41
"2013-10-08 11:17:00",164,42
"2013-10-08 11:22:00",180.2,43
"2013-10-08 11:27:00",169,44
"2013-10-08 11:32:00",158,45
"2013-10-08 11:37:00",166.6,46
"2013-10-08 11:42:00",151.8,47
"2013-10-08 11:47:00",147.4,48
"2013-10-08 11:52:00",157.2,49
"2013-10-08 11:57:00",143.4,50
"2013-10-08 12:02:00",159,51
"2013-10-08 12:07:00",155.8,52
"2013-10-08 12:12:00",152.6,53
"2013-10-08 12:17:00",154.6,54
"2013-10-08 12:22:00",163.4,55
"2013-10-08 12:27:00",179.6,56
"2013-10-08 12:32:00",174.8,57
"2013-10-08 12:37:00",144.8,58
"2013-10-08 12:42:00",161.2,59
"2013-10-08 12:47:00",163.6,60
"2013-10-08 12:52:00",153.4,61
"2013-10-08 12:57:00",165.8,62
"2013-10-08 13:02:00",171.6,63
"2013-10-08 13:07:00",167.4,64
"2013-10-08 13:12:00",163.6,65
"2013-10-08 13:17:00",162.6,66
"2013-10-08 13:22:00",150.4,67
"2013-10-08 13:27:00",155.8,68
"2013-10-08 13:32:00",168.2,69
"2013-10-08 13:37:00",160.8,70
"2013-10-08 13:42:00",142.8,71
"2013-10-08 13:47:00",161.2,72
"2013-10-08 13:52:00",127.2,73
"2013-10-08 13:57:00",115.8,74
"2013-10-08 14:02:00",150.2,75
"2013-10-08 14:07:00",107.2,76
"2013-10-08 14:12:00",141.6,77
"2013-10-08 14:17:00",150.4,78
"2013-10-08 14:22:00",156.8,79
"2013-10-08 14:27:00",146.8,80
"2013-10-08 14:32:00",160.6,81
"2013-10-08 14:37:00",164.2,82
"2013-10-08 14:42:00",161.2,83
"2013-10-08 14:47:00",180.8,84
"2013-10-08 14:52:00",141.8,85
"2013-10-08 14:57:00",152.8,86
"2013-10-08 15:02:00",162.4,87
"2013-10-08 15:07:00",166.6,88
"2013-10-08 15:12:00",152.2,89
"2013-10-08 15:17:00",166.4,90
"2013-10-08 15:22:00",162.6,91
"2013-10-08 15:27:00",169,92
"2013-10-08 15:32:00",175.6,93
"2013-10-08 15:37:00",186.8,94
"2013-10-08 15:42:00",182.4,95
